"basket","Giỏ hàng"
"My Orders","Đơn mua"
"My Wish List","Yêu thích"
"My Account","Tài khoản của tôi"
"Sign In","Đăng nhập"
"Create an Account","Đăng ký"
"Sign Out","Đăng xuất"
"categories","Danh mục"
"Enter Keyword or Item","Tìm kiếm sản phẩm"
"View All","Xem tất cả"
"Remaining","Còn lại"
"Account","Tài khoản"
"Menu","Danh mục"
"Success","Thành công"
"You have added","Bạn đã thêm"
"to your cart","vào giỏ hàng"
"system","Hệ thống"
"Order Summary","Thông tin đơn hàng"
"Items in Cart","sản phẩm"
"Item in Cart","sản phẩm"
"Apply Discount","Áp dụng"
"Enter discount code","Mã khuyến mãi"
"Place Order","Thanh toán"
"Shipping","Phí vận chuyển"
"Cart Subtotal","Tổng tiền hàng"
"Subtotal","Tổng tiền"
"Order Total","Tổng thanh toán"
Qty,Số lượng
"Not yet calculated","Chưa tính"
"Show more", "Xem thêm"
"Show less","Rút gọn"
"Description","Chi tiết sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"Buy Now","Mua ngay"
"SKU","Mã sản phẩm"
"Brand:","Thương hiệu:"
"Sort By","Sắp xếp theo"
"Home", "Trang chủ"
"Shop By","BỘ LỌC TÌM KIẾM"
"Filter","Lọc"
"Now Shopping by","Kết quả tìm kiếm"
"Clear All","Xóa tất cả"
"Shipping Method","Phương thức vận chuyển"
"Payment Method","Phương thức thanh toán"
"Cash On Delivery","Thanh toán khi nhận hàng"
"No payment method selected","Chưa lực chọn phương thức thanh toán"
"Attention","Chú ý"
"Discount","Giảm giá"
"Register","Đăng ký"
"Login","Đăng nhập"
"See Details","Xem chi tiết"
"Name","Tên"
"Confirm Password","Xác nhận mật khẩu"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"Back","Quay lại"
"Don’t have an Account?","Bạn chưa có tài khoản?"
"Customer Login","Đăng nhập"
"Adress Email","Địa chỉ email"
"Go back","Quay lại"
"Added","Đã thêm"
"Adding...","Đang thêm"
"Are you sure you would like to remove all items from the shopping cart?","Bạn có chắc chắn muốn xóa tất cả các mặt hàng khỏi giỏ hàng không?"
"Delete All","Xóa tất cả"
"Update","Cập nhật"
"We could not find anything for %1","Chúng tôi không tìm thấy kết quả cho %1"
"%1 Items in Cart","%1 sản phẩm"
"Items in Cart","sản phẩm"
"Proceed to Checkout","Thanh toán"
"We can't find products matching the selection.","Không có sản phẩm nào phù hợp với lựa chọn của bạn."
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Regular Price","Giá gốc"
"Be the first to review this product","Trở thành người đầu tiên đánh giá sản phẩm"
"Your session has expired","Phiên làm việc của bạn đã hết hạn"
"Free gift <strong>%1</strong> was added to your shopping cart","Quà tặng miễn phí <strong>%1</strong> đã được thêm vào giỏ hàng của bạn"
"You added %1 product to your shopping cart.","Bạn đã thêm %1 vào giỏ hàng của bạn."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Bạn đã thêm %1 vào <a href=""%2"">giỏ hàng</a>."
"%1 and above","%1 và trên %1"
